player_id,link,name,position,career_begin,career_end,active,scraped
13705,/players/K/KindDe00.htm,Derrick Kindred,SS,2016,2018,False,True
13706,/players/K/KindBi20.htm,Bill Kindricks,DT,1968,1968,False,True
13707,/players/K/KindDo00.htm,Don Kindt,DB-FB-HB,1947,1955,False,True
13708,/players/K/KindDo20.htm,Don Kindt,TE,1987,1987,False,True
13709,/players/K/KineGe20.htm,George Kinek,E,1954,1954,False,True
13710,/players/K/KineMi20.htm,Michael Kinek,E,1940,1940,False,True
13711,/players/K/KineSt20.htm,Steve Kiner,LB,1970,1978,False,True
13712,/players/K/Kingxx20.htm, King,TB,1920,1920,False,True
13713,/players/K/KingAk00.htm,Akeem King,DB,2015,2019,False,True
13714,/players/K/KingAn00.htm,Andre King,WR,2001,2004,False,True
13715,/players/K/KingAn20.htm,Andy King,G,2002,2003,False,True
13716,/players/K/KingAn21.htm,Angelo King,LB,1981,1987,False,True
13717,/players/K/KingAu20.htm,Austin King,C,2004,2006,False,True
